Category,Task,Priority,Status,Notes
BACKEND & INFRA,Apply 017_checkin_functions.sql to production Supabase,P1,To Do,"Run after 016. Creates moderation_flags, haversine_distance_m(), get_checkin_feed(), check_abuse_pattern(), abuse trigger. File at supabase/migrations/017_checkin_functions.sql."
BACKEND & INFRA,Deploy checkin edge function to production,P1,To Do,"Run: supabase functions deploy checkin --project-ref <your-prod-ref>. Test with curl after deploy."
BACKEND & INFRA,Create and seed real venue QR codes,P1,To Do,"Replace dev seed (Bloc 11, Middle East, Minuteman) with real venue records. Generate unique UUID qr_tokens. Print QR codes linking to values://checkin?token=<qr_token>."
BACKEND & INFRA,Verify all Supabase RLS policies on production,P1,To Do,"Confirm: profiles readable only by owner + auth users. Checkins RLS correct. moderation_flags SECURITY DEFINER only. matches/messages scoped to participants."
BACKEND & INFRA,Set all production environment variables in EAS,P1,To Do,"eas secret:create for: EXPO_PUBLIC_SUPABASE_URL, EXPO_PUBLIC_SUPABASE_ANON_KEY, EXPO_PUBLIC_CHECKIN_EDGE_URL, EXPO_PUBLIC_GOOGLE_CLIENT_ID, EXPO_PUBLIC_SENTRY_DSN, EXPO_PUBLIC_MIXPANEL_TOKEN."
BACKEND & INFRA,Configure Google OAuth production redirect URI,P1,To Do,"Google Cloud Console > OAuth 2.0 Credentials: add com.values.app bundle ID as authorized. Add Supabase auth callback URI."
BACKEND & INFRA,Configure Apple Sign In production keys in Supabase,P1,To Do,"Apple Developer Portal: create Sign In with Apple key. In Supabase Auth > Apple provider: paste Key ID, Team ID, and the .p8 private key content."
BACKEND & INFRA,Test edge function with a production JWT,P1,To Do,"After deploy run: curl -X POST <edge-url> -H 'Authorization: Bearer <token>' -H 'Content-Type: application/json' -d '{qr_token: <valid-token>, visibility_mode: private}'. Expect 200."
BACKEND & INFRA,Configure Sentry for production,P2,To Do,"Create a production Sentry project (React Native). Set EXPO_PUBLIC_SENTRY_DSN to the production DSN. Verify error events appear in dashboard after a test crash."
BACKEND & INFRA,Configure Mixpanel for production,P2,To Do,"Create a production Mixpanel project. Set EXPO_PUBLIC_MIXPANEL_TOKEN. Verify events appear after sign-in on a production build."
EAS & BUILD,Install EAS CLI and log in,P1,To Do,"Run: npm install -g eas-cli then eas login with your Expo account credentials."
EAS & BUILD,Initialize EAS in the project,P1,To Do,"Run: eas build:configure in the project root. This creates or updates eas.json."
EAS & BUILD,Configure production build profile in eas.json,P1,To Do,"Set distribution: store in the production profile. Set iOS credentials handling to automatic for first run."
EAS & BUILD,Confirm bundle ID in app.json,P1,To Do,"ios.bundleIdentifier must be com.values.app (or your chosen final ID). Must match the App ID in Apple Developer."
EAS & BUILD,Set version and build number in app.json,P1,To Do,"Set version: 1.0.0 and expo.ios.buildNumber: 1. Increment buildNumber for every new TestFlight upload."
EAS & BUILD,Run production iOS build,P1,To Do,"Run: eas build --platform ios --profile production. First run prompts for Apple credentials and provisions automatically."
EAS & BUILD,Upload build to App Store Connect,P1,To Do,"Run: eas submit --platform ios OR use Apple Transporter app. Verify upload completes without errors."
EAS & BUILD,Install on TestFlight and run full P1 regression,P1,To Do,"Add yourself as internal TestFlight tester. Install the build on a physical iPhone. Run all P1 items from this checklist."
APP STORE CONNECT,Create App Store Connect account if not done,P1,To Do,"Enroll at developer.apple.com. Individual or organization; $99/yr. Required before any submission."
APP STORE CONNECT,Create new app record in App Store Connect,P1,To Do,"My Apps > +. Set Name, Bundle ID (com.values.app), SKU (unique internal label e.g. values-app-v1), primary language."
APP STORE CONNECT,Set category to Social Networking and age rating 17+,P1,To Do,"Primary category: Social Networking. Age Rating: 17+ (Infrequent/Mild Mature Themes for dating apps)."
APP STORE CONNECT,Declare App Privacy data types,P1,To Do,"Declare: Location (precise, used for discovery), Photos (profile images), Contact Info (email), Identifiers (user ID), Usage Data (analytics). Link each to correct purpose."
APP STORE CONNECT,Add Privacy Policy URL,P1,To Do,"App Information > Privacy Policy URL. Must be a live publicly accessible URL at submission time."
APP STORE CONNECT,Add Support URL,P1,To Do,"Can be mailto:youremail@domain.com or a support webpage URL. Required field in App Store Connect."
APP STORE CONNECT,Upload screenshots 6.7 inch device,P1,To Do,"Minimum 3 screenshots. Use Xcode iPhone 15 Pro Max simulator. Recommended screens: Discover, Matches, Check-in, Values onboarding, Profile."
APP STORE CONNECT,Upload app icon 1024x1024 PNG,P1,To Do,"Upload in App Information. No transparency. No rounded corners. Apple applies the mask."
APP STORE CONNECT,Enter app description,P1,To Do,"Up to 4000 characters. Write first 3 lines as the strongest hook since they appear before the more cutoff on the store page."
APP STORE CONNECT,Enter keywords (max 100 chars),P1,To Do,"Up to 100 characters total. Comma-separated. Do not repeat words already in the app name or category."
APP STORE CONNECT,Set pricing to Free,P1,To Do,"Pricing and Availability section. Set to Free."
APP STORE CONNECT,Submit for App Review,P1,To Do,"Once build is uploaded and all metadata complete: Add for Review > Submit to App Review. Review typically takes 1-3 business days."
LEGAL & COMPLIANCE,Write and host Privacy Policy,P1,To Do,"Use Termly.io (free generator) or write custom. Must mention: location data, photos, auth identifiers, Sentry, Mixpanel, data deletion rights. Host at a stable public URL."
LEGAL & COMPLIANCE,Write and host Terms of Service,P2,To Do,"Must cover: 18+ only, acceptable use, content policy, reporting/moderation, account termination, liability disclaimers."
LEGAL & COMPLIANCE,Add Privacy Policy and Terms links to Settings screen,P1,To Do,"SettingsScreen must have tappable links opening both documents. Required by Apple App Store Review Guidelines for dating apps."
LEGAL & COMPLIANCE,Review App Store Review Guidelines section 1.3 and section 5.1.1,P1,To Do,"Read at developer.apple.com/app-store/review/guidelines/. Section 1.3 covers minors; section 5.1.1 covers data collection. Dating apps are scrutinized on both."
LEGAL & COMPLIANCE,Document content moderation approach,P2,To Do,"Dating apps must explain how inappropriate content is handled. Your block/report system qualifies. Add a Safety section to your Privacy Policy or in-app Help page."
